,Organizations,About,Technology,Category,Topics,Count,Last Appeared
237,Free UK Genealogy,Human transcription of family history data,"mongodb, ruby on rails, mysql, python,  css/html",Data and Databases,"ai, machine learning,  ui/ux,  web apps, open data",1,2018
238,freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,"python, shell, c/c++, json, rust",Social / Communications,"embedded systems, open hardware, wireless networks, decentralized, federation",10,2021
239,Frenetic,,,,,1,2014
240,Frescobaldi,Edit music scores with GNU LilyPond.,"python, pyqt",End User Applications,music engraving,1,2017
241,FRRouting,"Routing suite for *nix platforms including BGP, IS-IS, LDP, OSPF, PIM, and RIP","c, linux, networking, linux kernel, routing",Other,"networking, software defined networking, linux, systems programming, routing",2,2021
242,Funf.org,,,,,1,2013
243,Gambit - Software Tools for Game Theory,Software for Analysis of Game Theory Models,javascript,Science and Medicine,"game theory, academic projects, graphics",1,2016
244,Gambit: Software Tools for Game Theory,,,,,1,2014
245,Ganeti,Cluster virtual server management software,"python, haskell, kvm, xen, virtualization",,"virtualization, automation",4,2016
246,Ganglia,,,,,1,2014
247,GCC,,,,,1,2009
248,"GCC, the GNU Compiler Collection",,,,,2,2011
249,GCC - GNU Compiler Collection,,,,,4,2015
250,GDevelop,The cross-platform game engine designed for everyone.,"javascript, c/c++, web development, game development, react",Programming Languages and Development Tools,"gaming, graphics, web applications,  web, compilers",1,2020
251,Geeklog,,,,,2,2010
252,"Genes, Genomes and Variation",Authoritative databases of genome sequences and their function,"perl, mysql,  javascript,  python, rest",Science and Medicine,"genomics, data analysis, databases,  scientific visualization",4,2019
253,GENIVI Alliance,Developing open software for IVI and the connected car.,"yocto, embedded, automotive, some/ip",Other,"automotive, graphics, communication, bigdata,  embedded systems",2,2019
254,GENIVI Development Platform,Open Source Automotive Development Platform,"linux, c, yocto, c++, qt",Programming Languages and Development Tools,"automotive, cars, embedded systems, embedded, automobile",1,2017
255,GenMAPP,,,,,1,2009
256,"GenMAPP, Cytoscape, WikiPathways & Reactome",,,,,1,2010
257,Genome Assembly and Annotation,We focus on annotating features of genomic sequences and delpoying to users,"python, mysql, javascript, rust, pytorch",Science and Medicine,"genomics, data science, cloud, deep learning, workflows",1,2021
258,Genome Informatics,,,,,3,2013
259,Gentoo,,,,,1,2009
260,Gentoo Foundation,"A flexible, source-based Linux distribution.","python, shell, linux, c/c++, bash",Operating Systems,"operating systems, security, automation, embedded, package",11,2021
261,GeomScale,Open-source development of scalable algorithms for geometric statistics,"python, c++, r, jupyter, github-actions",Science and Medicine,"mathematics, data science, computational biology, statistics, computation geometry",2,2021
262,Gephi Consortium,,,,,3,2013
263,Gephi NGO,,,,,1,2010
264,GFOSS - Open Technologies Alliance,Promote Openness with the use and development of Open Standards & Open Source.,"python 3, php/javascript/html,  css/html, java, c/c++",Other,"python, gtk, java jsp, c++ tools, javascript",1,2018
265,GFOSS - Open Technology Alliance,Promote Openness through use and development of Open Standards and Open Source,"python, mysql, javascript, perl, python deep learning frameworks",Other,"open hardware, python, java, javascript, perl",1,2021
266,GIMP,,,,,1,2012
267,Git,"fast, scalable, distributed revision control system","shell script, git, c language",Programming Languages and Development Tools,"version control, dvcs",11,2021
268,Git Development Community,,,,,1,2009
269,GitHub,How people build software,"git, atom, node.js, ruby, c#",,"git, version control, editor, collaboration",2,2016
270,GitLab,A complete DevOps platform delivered as a single application.,"ruby, golang, git, ci, devops",Programming Languages and Development Tools,devops,1,2021
271,Global Alliance for Genomics & Health,GA4GH develops open standards and tools for genomics to benefit human health,"python, java, protobuf, sql",Science and Medicine,"genomics, big data, standards, apis, data sharing",2,2016
272,Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health,"python, java, sql, spring, hl7 fhir",Science and Medicine,"genomics, cloud, data discovery, healthcare, data security",5,2021
273,GNOME,The elegant and ethical desktop experience,"c, rust, gtk, vala,  python",End User Applications,"desktop, games, applications, productivity",11,2020
274,GNOME Foundation,The elegant and ethical desktop experience.,"c, python, javascript, rust, gtk",Operating Systems,"desktop, operating system, design, end user application, application",1,2021
275,GNOME Project,,,,,1,2011
276,GNSS-SDR,An open source Global Navigation Satellite Systems Software-Defined Receiver,"c++11, c++14, c++17, c++20, gnss",Science and Medicine,"signal processing, gnss, navigation, software defined radio, geospatial",9,2021
277,GnuCash Free Accounting Software,,,,,1,2011
278,GNU Compiler Collection,A set of compilers produced by the GNU project," c/c++, gnu autotools",Programming Languages and Development Tools,"compilers, toolchain, openmp",1,2019
279,GNU Compiler Collection (GCC),GCC,"c/c++, gnu make, gnu autotools",Programming Languages and Development Tools,"compilers, developer tools, toolchain, openmp, rust",3,2021
280,GNU Image Manipulation Program,,,,,3,2013
281,GNU Image Manipulation Program - GIMP,,,,,1,2010
282,GNU Mailman,the GNU Mailing List Manager,"python 3, email, rest, django",End User Applications,email,3,2019
283,GNU Mailman Project,GNU Mailman is a mailing list manager popular in open source projects.,"python, django, restful api, sqlalchemy",Social / Communications,"web, mail",1,2021
284,GNU Octave,Free Your Numbers,"c++, hg",Programming Languages and Development Tools,"mathematics, scientific computing, numerical computation, numerical methods, matlab",7,2021
285,GNU Project,GNU is an operating system that is free software,"c, lisp, python",Operating Systems,"free software, operating system",8,2018
286,GNU Radio,A free and open source toolkit for software radio.,"python, c++, qt",Science and Medicine,"signal processing, software defined radio, communication",8,2021
287,Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor,"opengl, vulkan, c/c+, gdscript",Graphics / Video / Audio / Virtual Reality,"virtual reality, graphics, game engines, cross-platform",4,2021
288,Google's Open Source Programs Office,,,,,1,2009
289,Google Caja,,,,,1,2010
290,Google FHIR SDK,"This work is a partnership between Google, WHO, Ona and other health partners","android, kotlin, sqlite, fhir, materialui",Science and Medicine,"global health, ai, gis, precision health, enteprise analytics",1,2021
291,Google Kubernetes,,,,,1,2015
292,Google Open Source Programs Office,,,,,5,2014
293,Go OpenOffice,,,,,2,2010
294,GPAC,C multimedia framework,"c, javascript, opengl",Graphics / Video / Audio / Virtual Reality,"multimedia, streaming, packaging, interactivity, rendering",2,2020
295,gprMax,Software for electromagnetic wave propagation simulation,"python, cython, cuda, openmp, mpi",Science and Medicine,"science, engineering, geophysics, electromagnetics, optimisation",2,2021
296,Grameen Foundation,,,,,1,2010
297,Grameen Foundation - MOTECH,,,,,1,2014
298,GraphQL Foundation,GraphQL is a fast and efficient query language for APIs.,"graphql,  javascript,  react, node.js",Data and Databases,"data and databases, api, graphql",1,2020
299,Grassroots DICOM,,,,,2,2012
300,Green Navigation,Energy efficient routing for electric vehicles,"javascript, java, react, apache spark, tensorflow",Other,"routing, eletric mobility, web, machine learning",2,2017
301,Groovy Community,,,,,1,2014
302,gRPC,"A high performance, open-source universal RPC framework","grpc, microservices, distributed systems, cloud",Cloud,"microservices, communications, distributed networks, infrastructure, middleware",2,2018
303,GRR Rapid Response,GRR Rapid Response is an incident response framework for remote live forensics.,"python 3, angular, typescript, materialui, backend",Security,"computer security, digital forensics",1,2021
304,GStreamer,,,,,4,2012
305,gVisor,An application kernel for containers that provides efficient defense-in-depth,"linux, c/c++, golang, posix",Operating Systems,"virtualization, sandbox, kernel, containers",1,2021
306,Hackystat,,,,,1,2009
307,Haiku,A desktop operating system written in C++,"c++, posix, bsd unix, virtualization",Operating Systems,"web, desktop, graphics, network, media",10,2021
308,Halide,"A language for fast, portable computation on images and tensors","llvm, c++",Programming Languages and Development Tools,"compilers, computer vision, graphics, high-performance computing",1,2021
309,Haskell.org,"Standardized, statically typed, lazy functional programming language","haskell, ghc, compiler",Programming Languages and Development Tools,"#compilers, #programming-tools, #functional-programming, #programming-languages, #education",11,2021
310,Hazelcast,In-Memory Computing Platform,"java,  distributed systems",Data and Databases,"in memory data grid, data streaming, stream processing",1,2020
311,Health Information Systems Programme,Health information system which is being used by 47 countries across world.,"java, android, javascript, reactjs, gradle",,"mobile, data processing, gis, e-health, global health and development",3,2016
312,Hedgewars Project,,,,,2,2012
313,"HelenOS group at Department of Distributed and Dependable Systems, Charles University in Prague",,,,,3,2014
314,Helsinki Institute for Information Technology,,,,,1,2011
315,Homebrew,The Missing Package Manager for macOS (or Linux),"ruby, bash",Programming Languages and Development Tools,"package managers, package management, macos, linux",4,2020
316,HPCC SystemsÂ®,,,,,1,2015
317,Hugin - Panorama photo stitcher,,,,,1,2011
318,Hugin/Panotools,,,,,1,2009
319,Hugin and panotools,,,,,1,2010
320,Hydra Ecosystem,Automate REST APIs. Build next generation API clients.,"python, postgresql, javascript, redis, docker",Web,"semantic web, web services, linked data, knowledge graphs, rest apis",3,2021
321,illumos,,,,,3,2013
322,illumos.org,Open Source successor of OpenSolaris,"dtrace, illumos, unix, openzfs, zfs",Operating Systems,"drivers, virtualization, storage, networking, kernel",1,2017
323,INCF,enabling open and FAIR neuroscience,"python, javascript, c/c++, java, tensorflow",Science and Medicine,"data visualization, big data, neuroscience, brain modelling, neuroimaging",5,2021
324,Inclusive Design Institute,The IDI addresses the challenge of designing ICT to work for all potential users,"javascript, html, css, node.js",End User Applications,"accessibility, inclusion, web applications, web development, web",7,2020
325,Inclusive Design Institute (IDI),,,,,1,2011
326,Indic Project,Improving Information Infrastructure and Access to Knowledge in Indian languages,"android, python, javascript, ruby on rails, c++",End User Applications,"natural language processing, language techology, input methods",1,2016
327,Inkscape,Vector graphic editor,"c/c++, python 3",Graphics / Video / Audio / Virtual Reality,"web, design, vector graphics",12,2021
328,Inria Foundation,SOFA is an efficient simulation engine for research in medical simulation.,"c/c++, qt, webassembly, asm, communication protocol",Science and Medicine,"medical simulation, medical research, physics, real-time, scientific computing",1,2018
329,Institute for Artificial Intelligence,Research in Artificial Intelligence for Autonomous Mobile Robots,"c++, python, ros, unreal engine, lisp",Science and Medicine,"artificial intelligence, robotics, simulation, unreal engine, perception",4,2018
330,Institut fÃ¼r Angewandte Informatik (InfAI) e.V.,Putting scientific research into practice.,"java,  javascript, a-frame, neo4j, htc vive",Graphics / Video / Audio / Virtual Reality,"virtual reality, software quality, visualization, software analytics,  web",1,2019
331,Integrated Ocean Observing System (IOOS),"IOOS is our eyes on the ocean, coasts, and Great Lakes.","python, big data science, ocean technology",Other,"open data, data science, earth sciences, data discovery",1,2021
332,Intel Media And Audio For Linux,We work on Linux opensource video and audio software for Intel.,"ffmpeg, gstreamer, sound open firmware, libxcam, vaapi",Graphics / Video / Audio / Virtual Reality,"360 stereo video, opensource audio firmware, ffmpeg neuronetwork",4,2020
333,Intel Video and Audio for Linux,We work on Linux opensource video and AI software for Intel,"gstreamer, ffmpeg, libxcam, vaapi",Graphics / Video / Audio / Virtual Reality,"graphics / video / audio / virtual reality, 360 stereo video, ffmpeg neuronetwork",1,2021
334,Interactive Spaces,,,,,1,2015
335,Interface Ecology Lab @ Texas A&M University,,,,,2,2012
336,InterMine,"Integrating biological data sources, making it easy to query and analyse data","java,  python,  javascript,  clojure,  r",Science and Medicine,"bioinformatics,  web,  open science,  biology,  data visualisation",2,2019
337,International Catrobat Association,Computational thinking for all with free visual coding apps,"javascript, android, swift, kotlin, php",Programming Languages and Development Tools,"education, visual programming, mobile programming, game engines, creativity tools",1,2021
338,International GeoGebra Institute,,,,,4,2015
339,International Neuroinformatics Coordinating Facility,Advancing global collaborative brain research,"c++, python, gpu, javascript, java",Science and Medicine,"neuroscience, data science, simulation, visualization, big data",6,2016
340,Internet Archive,Universal Access to All Knowledge,"python, javascript, golang, elasticsearch, hadoop",Web,archiving,5,2021
341,Internet Systems Consortium,We support the infrastructure of the Internet with Open Source," c/c++, c99, mysql, python, javascript",Other,"internet, networking, dhcp, dns, infrastructure",2,2019
342,Iowa Flood Center,,,,,1,2013
343,IP-over-P2P Project,,,,,1,2015
344,iPXE,,,,,1,2012
345,Isabelle,,,,,1,2011
346,Italian Mars Society,,,,,2,2014
347,JabRef,The open-source reference manager,"java, javafx, latex",End User Applications,"academia, reference manager, bibtex, pdf",1,2019
348,JabRef e.V.,Non profit organization developing the Open Source bibliography manager JabRef,"java, javafx, latex, typescript, bibtex",Science and Medicine,"science, library, literature",1,2021
349,Jato,,,,,1,2009
350,Jato VM,,,,,1,2011
351,Java PathFinder,JPF is a highly extensible Java virtual machine built for software verification.,"android, java, distributed systems, jvm",Programming Languages and Development Tools,"model checking, symbolic execution, verification of concurrent systems, program analysis, jvm",1,2021
352,Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for sofware verification,"java, jvm, android, distributed systems",Programming Languages and Development Tools,"program analysis, testing, verification, model checking, environment generation",1,2016
353,JBoss Community,Community of projects around JBoss Middleware,"java, node.js, rust, golang, kubernetes",Web,"machine learning, iot, cloud, messaging, cfc",10,2021
354,JdeRobot - Universidad Rey Juan Carlos,A software toolkit for developing applications in Robotics and Computer Vision,"python, ros, gazebo, opencv, tensorflow",Other,"education, artificial intelligence, robotics, computer vision, developer tools",6,2021
355,Jenkins project,Open-source automation server for building great things at any scale,"java, javascript, docker, kubernetes, go",Programming Languages and Development Tools,"continuous integration, continuous delivery, developer tools, devops, automation",4,2020
356,JGraphT,Java library that provides graph data-structures and algorithms.,java,Programming Languages and Development Tools,"graphs, algorithms, data structures, mathematics, network analysis",1,2018
357,Jikes RVM,,,,,3,2012
358,Jitsi,The most innovative Open Source video conferencing community. Period.,"java, javascript, webrtc, react, react native",Social / Communications,"real time communications, web, video conferencing, networking, multimedia",3,2018
359,"Jitsi (SIP Communicator), Kamailio and SEMS",,,,,1,2011
360,jMonkeyEngine,,,,,1,2014
361,Joomla,"Joomla, the flexible platform empowering website creators.","php,  javascript, mysql, html/css, cms",Web,"web, web development, web application, programming languages, cms",2,2019
362,Joomla!,"Joomla, the flexible platform empowering website creators.","mysql, javascript, html, php, css",Web,"web, programming languages, web development, web applications, cms",5,2021
363,Joomla! (Open Source Matters),,,,,2,2014
364,Joplin,A note-taking and to-do application with synchronization capabilities.,"javascript, react, node.js, react native, electron",End User Applications,"cross-platform, encryption, notes, synchronisation, sharing",2,2021
365,jQuery Foundation,"jQuery Foundation - home of jQuery, Dojo and many other JavaScript libraries","javascript, html5, css, jquery",,"unit testing, software testing, framework development, user interface components, event handling",2,2016
366,JRuby,,,,,2,2013
367,JSK Robotics Laboratory,Humanoid Robotics Laboratory at the University of Tokyo,"ros, lisp, prolog, openhrp, openrtm",Science and Medicine,"robotics, artificial intelligence",2,2017
368,JSK Robotics Laboratory / The University of Tokyo,JSK is focusing on the fundamental functions & systems for intelligent robots,"ros, lisp",Science and Medicine,"robotics, ros",2,2019
369,K-9 Mail,K-9 Mail â€“ Advanced Email for Android,"android, java",End User Applications,"email, communication",2,2017
370,Kapitan,"Templated configuration management for Kubernetes, Terraform and other things","kubernetes, jsonnet, python 3, jinja2, terraform",Programming Languages and Development Tools,"programming languages, great developer tooling,  cloud, kubernetes",2,2020
371,KDE,Experience Freedom!,"c++, qt, qt5",End User Applications,"desktop, desktop application, education, science, communication",9,2017
372,KDE Community,International community creating Free Software together,"opengl, c++, qt, qml, data structures",End User Applications,"education, science, art",4,2021
373,Kernel.org - the Linux Kernel Organization,,,,,3,2012
374,Kiwix,Internet content for people without internet access,"python, c/c++, nodejs, kotlin, typescript",Other,offline access,4,2021
375,KNIME,Open for Innovation,"javascript, java, tensorflow",Data and Databases,"data analytics, data science, machine learning, deep learning, image processing",1,2019
376,Kodi,The ultimate entertainment center,"python, opengl, c++, ffmpeg, sqlite",End User Applications,"games, audio, video, media",1,2021
377,Kodi Foundation,The ultimate entertainment center,"ffmpeg,  python,  c++, sqlite, mysql",End User Applications,"media, video, audio, games",2,2020
378,KolibriOS,KolibriOS Project team,"fasm, flat assembler, x86 assembly, i386, i586",Operating Systems,"desktop, operating systems, drivers, hardware, lowlevel",1,2016
379,KolibriOS Project Team,,,,,1,2014
380,Komodo OpenLab,,,,,1,2012
381,Komodo OpenLab Inc.,,,,,1,2011
382,Kubeflow,The machine learning toolkit for Kubernetes.,"python, jupyter notebook, tensorflow, kustomize, kubernetes",Cloud,"machine learning, infrastructure, cloud, kubernetes",1,2020
383,LabLua,Programming Languages Research with emphasis on the Lua language,"lua, cÃ©u, kernel",Programming Languages and Development Tools,"scripting languages, reactive languages",8,2021
384,Laboratory for Cosmological Data Mining,,,,,1,2014
385,LanguageTool,,,,,1,2011
386,languagetool.org,Style and grammar checker,"java, javascript, machine learning, ai, tensorflow",End User Applications,"artificial intelligence, language, edtech, education, nlp",1,2018
387,LEAP Encryption Access Project,We make encryption easy to use.,"python, twisted, javascript, openvpn, gnupg",End User Applications,"e2e, mail, vpn, encryption",2,2018
388,Learning Equality,Equity in education to transform lives,"python, javascript, django, vue.js",End User Applications,"education, distributed databases, offline, learning",1,2021
389,Learning Unlimited,,,,,1,2011
390,"Learning Unlimited, Inc.",,,,,1,2012
391,Libav,,,,,1,2012
392,libcamera,"An open source camera stack and framework for Linux, Android, and ChromeOS","c/c++, linux kernel, qt5, gstreamer, v4l2",Graphics / Video / Audio / Virtual Reality,"camera, image processing",1,2021
393,LibreCube Initiative,Open Source Space and Earth Exploration,"python, micropython, zmq, mbed",Science and Medicine,"space, cubesat, mission control",1,2021
394,LibreHealth,Healthcare for Humanity,"python, javascript, android, java, php",Science and Medicine,"web, deep learning, radiology, mobile apps",5,2021
395,LibreOffice,LibreOffice is a free and open source office suite.,"python, java, c++",End User Applications,"office suite, desktop application, end user application",11,2021
396,Libre Space Foundation,Open-source software and hardware technologies for space,"python, django, machine learning, sdr, embedded systems",Science and Medicine,"space applications, satellite data, orbital dynamics, space standards",3,2021
397,libvirt,virtualization abstraction library,"xen, kvm, hypervisor",Cloud,"virtualization, library",6,2021
398,LimeSurvey,,,,,3,2011
399,Linaro,,,,,1,2014
400,Linkerd,Linkerd is the ultralight service mesh for Kubernetes and beyond,"linkerd, kubernetes, golang, rust",Cloud,"service mesh, cloud infrastructure, microservices, containers,  networking",2,2020
401,Linux Trace Toolkit next generation project (LTTng),,,,,2,2014
402,Liquid Galaxy project,Liquid Galaxy is a panoramic system that runs Google Earth across a PC cluster,"python, android, java, arduino, machinelearning",Graphics / Video / Audio / Virtual Reality,"visualization, linux, maps, cluster, google earth",10,2021
403,LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,"llvm, clang",Programming Languages and Development Tools,"programming languages and development tools, compiler, code analysis",8,2019
404,lmonade: scientific software distribution,,,,,3,2015
405,lowRISC,Open to the core - collaborative engineering for open source silicon and tools,"systemverilog, c++, fpga, python, risc-v",Other,"open hardware, compilers",4,2020
406,LuaRocks,The Lua package manager and ecosystem,lua,Programming Languages and Development Tools,"programming languages, package managers, games",3,2019
407,LXDE Project,,,,,1,2010
408,LyX â€“ The Document Processor ,,,,,2,2014
409,Machine Learning for Science (ML4SCI) Umbrella Organization,Umbrella organization for machine learning applications in science,"python, c/c++, machine learning, data analysis, artificial intelligence",Science and Medicine,"machine learning, science and medicine, algorithms, physics, astronomy",1,2021
410,MacPorts,Open Source package manager for macOS.,"tcl, c, python, scripting, buildbot",End User Applications,"package management, macos, build tools, libraries",3,2020
411,Maemo Community,,,,,2,2010
412,MapAction,MapAction works on maps and data analysis for the humanitarian sector,"python, data analysis, gis, apache airflow, visualization",Other,"humanitarian, maps, geospatial, data processing, google cloud",1,2021
413,Mapnik,,,,,2,2011
414,MariaDB,One of the most popular databases on the web with many notable users,"mariadb, mysql, c, c++, java",Data and Databases,database,5,2017
415,MariaDB Foundation,One of the most popular databases on the web with many notable users,"c, python, mysql, mariadb, c++",Data and Databases,"databases, cloud, distributed systems, performance, sql",4,2021
416,Marine Biological Laboratory - Center for Library and Informatics,,,,,1,2011
417,Marine Biological Laboratory Biodiversity Informatics Group-Encyclopedia of Life Project,,,,,1,2010
418,Maryland Institute for Technology in the Humanities,,,,,1,2013
419,Matrix,"An open network for secure, decentralized communication","python, javascript, rust, go,  react",Social / Communications,"encryption, realtime communication, decentralised, team chat, chat",1,2020
420,Matrix.org,"An open network for secure, decentralized communication","python, javascript, c++, rust, decentralisation",Social / Communications,"decentralized, decentralisation, json",5,2021
421,Mayor's Office of New Urban Mechanics (City of Boston),"Exploring, experimenting + evaluating new approaches to government + civic life.","python, javascript",Other,"web, machine learning, gis, civic tech",1,2021
422,MBDyn,MBDyn - free general-purpose multibody dynamics solver,"python, c/c++",Science and Medicine,"simulation, multibody dynamics, computational mechanics, aeroelasticity, multiphysics",3,2021
423,"MBDyn, Department of Aerospace Engineering at the Polytechnic University of Milan",,,,,1,2015
424,"MBDyn, Department of Aerospace Science and Technology at Politecnico di Milano",MBDyn is a multidisciplinary Multibody Dynamics scientific simulation software.,c++,Science and Medicine,"physics, engineering, simulation, robotics, real time",1,2016
425,MBDyn - Multibody Dynamics,Scientific mechanical simulation tool for engineering research and development," python, c++, scripting",Science and Medicine,"mechanical engineering, aeronautics, multibody dynamics, aerodynamics, linear algebra",1,2019
426,McGill Space Institute,Center bringing together scientists doing space-related research at McGill,"python, sql, databases, big data",Science and Medicine,"space, astronomy",1,2016
427,MDAnalysis,A Python package for the handling and analysis of molecular simulation data.,"python, cython, c/c++",Science and Medicine,"simulation, trajectory analysis, soft matter physics, materials, biochemistry",2,2021
428,Measurement Lab,,,,,1,2012
429,Measurement Lab (M-Lab),,,,,1,2013
430,MEDES-IMPS,,,,,1,2015
431,Media Cloud,Media Cloud is an open-source platform for media analysis.,"python, postgresql, javascript, react, docker",Other,"research, media, news-media, media-analytics, civic-tech",1,2021
432,MediaPipe,Live ML anywhere,"python, javascript, android, c++, ios",Graphics / Video / Audio / Virtual Reality,"machine learning, computer vision, deep learning, real-time, ml-inference",1,2021
433,Melange,,,,,6,2014
434,Mercurial,,,,,1,2013
435,Mercurial (a member of the Software Freedom Conservancy),,,,,1,2009
436,Mercurial Distributed Version Control System,,,,,1,2010
437,MetaBrainz Foundation,We curate data and make it freely available!,"python, perl, postgresql, javascript",Data and Databases,"music, metadata, machine learning, big data, books",2,2016
438,MetaBrainz Foundation Inc,Using open source & communities to curate large scale open data-sets.,"python, postgresql, react, rust, spark",Data and Databases,"databases, open data, music, books, hosting",2,2021
439,MetaBrainz Foundation Inc.,"We curate and publish community maintained data sets, focused on music and books","python, postgres, solr, perl, spark",Data and Databases,"music, books, metadata, community, open data",9,2020
440,MetaCall,MetaCall allows calling functions between multiple programming languages.,"python, javascript, c/c++, cmake, guix",Programming Languages and Development Tools,"programming languages, development tools, cross-platform, polyglot, foreign function interface",1,2021
441,Metalink,,,,,1,2012
442,Metasploit,The worldâ€™s most used penetration testing framework,"c, python, postgresql, ruby, assembly",Security,"security, penetration testing, offensive security, exploitation",4,2021
443,MGGG Redistricting Lab,MGGG researches applications in math and computer science for US redistricting,"python, javascript, julia, gis, statistics",End User Applications,"statistics, civic tech, mapping and surveying, graph algorithms",2,2021
444,Microkernel devroom,"Confederation of microkernel projects (Genode, HelenOS, GNU Hurd, MINIX, Redox)","c, c++, rust, arm, x86",Operating Systems,"microkernel, components, ipc, desktop, virtualization",1,2017
445,Mifos,,,,,1,2009
446,Mifos (The Community for Open Source Microfinance),,,,,1,2013
447,Mifos Initiative,End Poverty One Line of Code at a Time,"java, android, angularjs, spring, mysql",End User Applications,"fintech, mobile banking, digital financial services, microfinance, financial inclusion",3,2017
448,MINIX 3,,,,,2,2012
449,MINIX 3 Group at the VU,,,,,1,2010
450,"MINIX 3 Research group at the Vrije Universiteit in Amsterdam, The Netherlands",,,,,1,2011
451,MinnowBoard Project,,,,,1,2015
452,MIT App Inventor,Anyone can build apps with global impact.,"javascript, java, gwt",Programming Languages and Development Tools,"education, mobile",4,2021
453,MIT Center for Mobile Learning @ The Media Lab,,,,,1,2012
454,MIT Media Lab,Build Your own Android Apps!,"java, html/javascript, android",End User Applications,"educational technology, education",2,2016
455,Mixxx,DJ Mixing App With Powerful Features For All DJs,"c++, qt,  javascript, deep learning",End User Applications,"music, dj, streaming, music information retrieval",2,2020
456,Mixxx Digital DJ,,,,,1,2010
457,Mixxx DJ Software,"DJ Your Way, For Free. Join our friendly community of hackers, DJs, and artists!","qt, audio, music, real-time, c++",Graphics / Video / Audio / Virtual Reality,"beatdetection, metadata",6,2018
458,mlpack,"fast, flexible C++ machine learning library","c++, openmp",Science and Medicine,"machine learning, data science, deep learning, linear algebra, reinforcement learning",5,2021
459,mlpack: a scalable C++ machine learning library,a scalable C++ machine learning library,c++,Science and Medicine,"machine learning, data mining, fast algorithms",1,2016
460,mlpack: scalable C++ machine learning library,,,,,2,2014
461,MLton.org,,,,,1,2013
462,Mobile Robot Programming Toolkit (MRPT),Empowering C++ development in robotics,"c/c++, cmake, python, webs",Science and Medicine,"robot, ai, computer vision, real-time, slam",3,2018
463,ModSecurity,ModSecurity cross platform web application firewall,"waf, web application firewall",Security,web application security,1,2016
464,MoinMoin,,,,,1,2011
465,MoinMoin Wiki,,,,,4,2013
466,Moira,Moira is a realtime alerting system based on Graphite data,"golang,  javascript, typescript, graphite,  react",Programming Languages and Development Tools,"devops, monitoring, alerting, devtools, sre",2,2020
467,Monkey HTTP Daemon,,,,,1,2012
468,Monkey Project,,,,,2,2014
469,Mono Project,Cross-platform C#/F#/.NET runtime and tools,"c#, .net, f#, c",Programming Languages and Development Tools,"compiler, ide, mobile development, web development, programming tools",7,2017
470,Moodle,Empowering educators to improve our world,"php,  javascript, sql, angular, ionic",Social / Communications," education,  web applications, e-learning, school system, learning management",10,2019
471,MoveIt,Software that is moving robots into the future,"c/c++, python 3, robotics",Science and Medicine,robotics,2,2021
472,MovingBlocks,Terasology: like an open source Minecraft - imagine the possibilities!," java, opengl, json, blender, github",End User Applications,"game, voxel, minecraft, sandbox, modding",3,2018
473,Mozilla,Keeping the Internet open and accessible to all.," javascript, rust, html5, web development,  python",Web,"web browser, devtools, information security, open source",10,2020
474,Mozilla Project,,,,,1,2009
475,MuseScore,The World's Most Popular Notation App,"c++, qt, qml",Graphics / Video / Audio / Virtual Reality,"music, audio, notation, engraving",8,2021
476,mypy,A static type checker for Python and a compiler for type-annotated Python,python,Programming Languages and Development Tools,compilers,2,2021
477,mySociety,,,,,1,2012
478,MySQL,,,,,1,2009
479,MZmine,MZmine is an open-source software for mass-spectrometry data processing.,"java, javafx",Science and Medicine,"mass spectrometry, molecular analysis, visualization, data processing, molecular networking",1,2020
480,Named Data Networking Project,A Content-Centric Future Internet architecture,"java, android,  javascript, c++14, c#",Web,"networking, informationc centric networking, ipfs",1,2019
481,National Center for Supercomputing Applications,,,,,1,2009
482,National Evolutionary Synthesis Center,,,,,1,2012
483,National Evolutionary Synthesis Center (NESCent),,,,,2,2013
484,National Library of the Czech Republic,,,,,1,2013
485,"National Resource for Network Biology (GenMAPP, Cytoscape and WikiPathways)",,,,,1,2011
486,National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,"python, javascript, java, xml, r",Science and Medicine,"web application, data science, graphics, scientific computing, network biology",9,2021
487,Native Client,,,,,1,2009
488,Natural User Interface Group,,,,,3,2012
489,Natural User Interface Group (NUI Group),,,,,1,2010
490,Navidrome,Modern music server and streamer compatible with Subsonic/Airsonic,"react, golang, ffmpeg",Web,"web, music, streaming",1,2021
491,Neovim,hyperextensible Vim-based text editor,"c, lua, rpc",Programming Languages and Development Tools,"editor, programming",3,2020
492,NESCent - National Evolutionary Synthesis Center,,,,,2,2010
493,Netfilter project,"Firewalling, NAT and packet mangling for Linux","c, linux kernel",Operating Systems,"network security, software defined networking, network monitoring",6,2019
494,NetSurf,,,,,2,2014
495,Netty,Netty is an asynchronous event-driven network framework,"java, jni, c",Web,"nonblocking, network, async",1,2020
496,Network Time,,,,,1,2012
497,Network Time Foundation,,,,,2,2015
498,New Visions for Public Schools,,,,,1,2012
499,Ninux.org,,,,,1,2012
