,Organizations,About,Technology,Category,Topics
190,The Palisadoes Foundation,Helping community-based organizations grow by using better software,"javascript, mongodb, node.js, flutter, graphql",Social / Communications,"web development, cloud computing, social good, mobile apps, social impact"
191,The R Project for Statistical Computing,R is a free software environment for statistical computing and graphics.,"javascript, c/c++, r-project, fortran",Programming Languages and Development Tools,"visualization, machine learning, data science, graphics, statistics"
192,The Terasology Foundation,Voxel world game/engine with a large focus on extensibility and developer tools,"java, opengl, gradle, kotlin, lwjgl",End User Applications,"voxel, games, ai, graphics / video / audio / virtual reality, game engines"
193,TianoCore,"A modern, feature-rich, cross-platform, open source implementation of UEFI","c, python, rust, golang, uefi",Operating Systems,"firmware, uefi, bootloader, edk2, open system firmware"
194,VideoLAN,Open Source Multimedia for Everyone,"c, machine learning, c++, audio, video codecs",End User Applications,"audio, video, network programming, video decode, multimedia"
195,vitrivr,The multimedia search engine,"java, kotlin, tensorflow, angular, typescript",Data and Databases,"databases, web, machine learning, computer vision, multimedia retrieval"
196,Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,"python, javascript, html, php, css",Web,"semantic web, wikipedia, wikimedia, mediawiki, i18n"
197,Xfce,Fast and lightweight Gtk3 desktop environment for Linux and BSD,"c, python, javascript, gtk, vala",End User Applications,"gui, desktop environment"
198,Xiph.Org Foundation,Open-source and royalty free multimedia,"rust, assembly, arm, x86, c language",Graphics / Video / Audio / Virtual Reality,"video, video encode, video decode, multimedia"
199,xrdesktop,XR for the Linux Desktop,"c, vulkan, wayland, glib, openxr",Graphics / Video / Audio / Virtual Reality,"virtual reality, graphics, real time, 3dui, window management"
200,XWiki,The Advanced Open Source Enterprise Wiki,"javascript, java, html5, css3, velocity",Web,"web development, wiki, platform, web applications, structured data"
201,Zulip,"Powerful, modern, open source team chat, complete with apps for every platform.","python, django, typescript, react native, electron",Social / Communications,"mobile, great developer tooling, chat, visual design, teaching quality codebase"
